t,score,threshold,alert,y_true,switching,err_phys,err_cyber,err_event,attack_type
219,0.7435127042544739,1.6816989055870812,0,0,0,0.46203911304473877,1.0393131971359253,0.0018392747733741999,none
220,0.0,1.6816989055870812,0,0,0,0.43400895595550537,0.744331419467926,0.00200517475605011,none
221,0.0822599196240112,1.6816989055870812,0,0,0,0.4439074397087097,0.9142072796821594,0.0016232013003900647,none
222,0.0,1.6816989055870812,0,0,0,0.4788025915622711,0.8284361362457275,0.0015734466724097729,none
223,0.0,1.6816989055870812,0,0,0,0.4087767004966736,0.6092694401741028,0.0019287868635728955,none
224,0.31889403532458005,1.6816989055870812,0,0,0,0.5403501391410828,0.9589773416519165,0.0020302312914282084,none
225,0.0,1.6816989055870812,0,0,0,0.4314662218093872,0.7989543080329895,0.00225149211473763,none
226,0.0,1.6816989055870812,0,0,0,0.4642445147037506,0.7390468716621399,0.002239403547719121,none
227,0.12839323405120803,1.6816989055870812,0,0,0,0.5417931079864502,0.9229354858398438,0.002209117403253913,none
228,0.015566587217278808,1.6816989055870812,0,0,0,0.6404179930686951,0.9015892148017883,0.002214715350419283,none
229,0.0,1.6816989055870812,0,0,0,0.48490986227989197,0.764613926410675,0.001666644704528153,none
230,0.01284921624807354,1.6816989055870812,0,0,0,0.7422617077827454,0.7012271881103516,0.001822480815462768,none
231,0.0,1.6816989055870812,0,0,0,0.670098602771759,0.7917625308036804,0.0020244724582880735,none
232,0.0,1.6816989055870812,0,0,0,0.5249330401420593,0.7440118789672852,0.002175703179091215,none
233,1.1235767389811249,1.6816989055870812,0,0,0,0.6173070669174194,1.1112195253372192,0.00200091814622283,none
234,0.24717986341891476,1.6816989055870812,0,0,0,0.657817542552948,0.94540935754776,0.002036245306953788,none
235,0.021876805014269182,1.6816989055870812,0,0,0,0.7420253753662109,0.892383873462677,0.0019037884194403887,none
236,0.4611655414224085,1.6816989055870812,0,0,0,0.5953949093818665,0.9858944416046143,0.002523709088563919,none
237,0.20500457178516274,1.6816989055870812,0,0,0,0.7281805872917175,0.935207188129425,0.0021212520077824593,none
238,0.0,1.6816989055870812,0,0,0,0.5654328465461731,0.8839638829231262,0.002638057339936495,none
239,0.0,1.6816989055870812,0,0,0,0.6620187759399414,0.8729342818260193,0.002170112682506442,none
240,0.17208871797681916,1.6816989055870812,0,0,0,0.7817897200584412,0.9133422374725342,0.0018394093494862318,none
241,1.3004323999910983,1.6816989055870812,0,0,0,0.5368478894233704,1.1446797847747803,0.0024357663933187723,none
242,0.3758925510217271,1.6816989055870812,0,0,0,0.6090425252914429,0.9697611927986145,0.0021342525724321604,none
243,0.0,1.6816989055870812,0,0,0,0.6857562065124512,0.8596463203430176,0.0023752700071781874,none
244,0.37584989150129217,1.6816989055870812,0,0,0,0.8795886039733887,0.9206321239471436,0.002923604566603899,none
245,0.0,1.6816989055870812,0,0,0,0.6162139773368835,0.6617947220802307,0.002342263236641884,none
246,2.2071983979356258,1.6816989055870812,0,0,0,0.7339714169502258,1.2918676137924194,0.0021186380181461573,none
247,0.0,1.6816989055870812,0,0,0,0.6995911002159119,0.7863207459449768,0.002173544140532613,none
248,0.566884504254617,1.6816989055870812,0,0,0,0.6571934223175049,1.005895972251892,0.0024877621326595545,none
249,0.5775436674350709,1.6816989055870812,0,0,0,0.6824708580970764,1.0079126358032227,0.002108955290168524,none
250,0.10798533851719463,1.6816989055870812,0,0,0,0.803268551826477,0.8392886519432068,0.0026023604441434145,none
